3M ESPE MDI Mini Dental Implant System[3M ESPE Dental],1,MDI 1.1MM SURGICAL DRILL - STERILE,S1011,-,2,MDI O-RING - (25 PACK)  FITS MH-1,0550-25,-,3,MDI WITH O-BALL - STERILE - LONG TERM 1.8 X 13mm IMPLANT,S1813OB,-,4,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 18mm IMPLANT,S1818IOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,5,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 15mm IMPLANT,MOB-15,-,6,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 15mm IMPLANT,S1815IOB,-,7,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 13mm IMPLANT,S1813SB,-,8,MINI AUTOCLAVABLE CASSETTE,120,-,9,MDI O-BALL - STERILE - LONG TERM 1.8 X 15mm IMPLANT,OB-15,-,10,ACCESS TOOTHBRUSH #1 (12 PACK),6008-12,-,11,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 18mm IMPLANT,IOB-18,-,12,MDI MICRO O-RING - (25 PACK)  FITS MH-2 & O-Cap,0351-25,-,13,IMTEC DRY FIELD SYSTEM - LARGE,300-701,-,14,STANDARD MDI KIT W/O RATCHET WRENCH,S1801,-,15,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 10mm IMPLANT,MSH-10,-,16,MDI IMPRESSION CAP,S4118,-,17,MICRO METAL HOUSING (with micro o-ring),MH-2 (S0354),-,18,MDI RATCHET ADAPTER    (long),S7015,-,19,IMTEC DRY FIELD SYSTEM - SMALL,300-700,-,20,SUSSMAN IMPLANT GUIDE,SIG 1000,-,21,MDI MICRO O-RING - (SINGLE)  FITS MH-2 & O-Cap,0351-01,-,22,HIGH VOLUME BILATERAL SUCTION ADAPTER,300-411,-,23,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 13mm IMPLANT,SH-13,-,24,MDI COLLARED STANDARD SQUARE HEAD ANALOG,LASH,-,25,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 10mm IMPLANT,S1810MOB,-,26,16mm RATCHET EXTENSION,8016,-,27,BLOCK OUT SHIMS - 9MM (25 PACK),S1010,-,28,TI IMPLANT LOCKING PLIERS,1030,-,29,STANDARD METAL HOUSING (with o-ring),MH-1 (S0454),-,30,RIDGE MAPPING CALIPER,1325,-,31,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 10mm IMPLANT,MOB-10,-,32,MDI WITH O-BALL - STERILE - LONG TERM 1.8 X 15mm IMPLANT,S1815OB,-,33,MDI MICRO O-RING - (10 PACK)  FITS MH-2 & O-Cap,0351-10,-,34,MDI RATCHET ADAPTER    (medium),S7011,-,35,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 15mm IMPLANT,S1815MOB,-,36,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 13mm IMPLANT,S1813MOB,-,37,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 18mm IMPLANT,MSH-18,-,38,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 13mm IMPLANT,IOB-13,-,39,MDI O-RING - (10 PACK)  FITS MH-1,0550-10,-,40,SMALL O-RING NITRILE (SINGLE) - FITS MH-1,0550-01,-,41,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 18mm IMPLANT,SH-18,-,42,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 18mm IMPLANT,S1818MOB,-,43,O-CAP (with micto o-ring),MH-3 (S0254),-,44,MDI O-BALL - STERILE - LONG TERM 1.8 X 13mm IMPLANT,OB-13,-,45,MDI WINGED THUMB WRENCH,S9032,-,46,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 15mm IMPLANT,S1815SB,-,47,SURGICAL INTRA-ORAL SKIN MARKER,1003,-,48,STANDARD MDI KIT WITH RATCHET WRENCH,S1802,-,49,MDI STANDARD SQUARE HEAD ANALOG,5018,-,50,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 18mm IMPLANT,MOB-18,-,51,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 13mm IMPLANT,MSH-13,-,52,MDI WITH O-BALL - STERILE - LONG TERM 1.8 X 18mm IMPLANT,S1818OB,-,53,MDI SURGICAL BOX,1303,-,54,MDI COLLARED O-BALL PROSTHETIC HEAD ANALOG,LAOB,-,55,MDI RATCHET ADAPTER    (short),S7007,-,56,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 18mm IMPLANT,S1818SB,-,57,1.5mm TISSUE PUNCH,S0150,-,58,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 10mm IMPLANT,S1810MSB,-,59,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 15mm IMPLANT,IOB-15,-,60,MDI O-BALL - STERILE - LONG TERM 1.8 X 18mm IMPLANT,OB-18,-,61,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 15mm IMPLANT,S1815MSB,-,62,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 10mm IMPLANT,SH-10,-,63,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 13mm IMPLANT,S1813MSB,-,64,MDI WITH O-BALL - STERILE - LONG TERM 1.8 X 10mm IMPLANT,S1810OB,-,65,ACCESS TOOTHBRUSH #2 (12 PACK),6009-12,-,66,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 18mm IMPLANT,S1818MSB,-,67,MDI MAXILLARY O-BALL - STERILE - LONG TERM 2.4 X 13mm IMPLANT,MOB-13,-,68,MDI MAXILLARY SQUARE HEAD - STERILE - LONG TERM 2.4 X 15mm IMPLANT,MSH-15,-,69,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 10mm IMPLANT,IOB-10,-,70,TITANIUM BOWL,111,-,71,SECURE SOFT RELINE MATERIAL,8120,-,72,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 13mm IMPLANT,S1813IOB,-,73,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 15mm IMPLANT,SH-15,-,74,MDI SQUARE HEAD - STERILE - LONG TERM 1.8 X 10mm IMPLANT,S1810SB,-,75,MDI FINGER DRIVER,S9030,-,76,MDI INTERMEDIATE - STERILE - LONG TERM 2.1 X 10mm IMPLANT,S1810IOB,-,77,MDI O-BALL - STERILE - LONG TERM 1.8 X 10mm IMPLANT,OB-10,-,78,SECURE HARD PICK-UP MATERIAL,8720,-,79,MDI O-BALL PROSTHETIC HEAD ANALOG,5118,-,80,3M ESPE MDI SURGICAL KIT,S1807,UNITED STATES,81,MDI Surgical and Restorative Kit,S1806,UNITED STATES,82,Graduated Torque Wrench with Adapter,8070,"UNITED STATES, DENMARK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ U200[3M Deutschland GmbH],1,"1 Clicker (11 g), colour shade: Translucent, Accessories (1 mixing pad)",56877,-,2,"1 Clicker (11 g), colour shade: A2 Universal, Accessories (1 mixing pad)",56878,-,3,"1 Clicker (11 g), colour shade: A3 Opaque, Accessories (1 mixing pad)",56879,-,4,"1 Clicker (3 g), colour shade: A2 Universal",56881,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Precise Skin Staplers[3M Health Care],1,3M Precise Vista Disposable Skin Stapler,3995,MEXICO,2,3M Precise Vista Disposable Skin Stapler,3996,MEXICO,3,3M Precise Vista Disposable Skin Stapler,3997,MEXICO,4,3M Precise Vista Disposable Skin Stapler,3998,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEXICO,5,3M Precise Disposable Skin Stapler,PGX-15W,MEXICO,6,3M Precise Disposable Skin Stapler,PGX-35W,MEXICO,7,3M Precise Disposable Skin Stapler,MS-5,MEXICO,8,3M Precise Disposable Skin Stapler,MS-15,MEXICO,9,3M Precise Disposable Skin Stapler,MS-25,MEXICO,10,3M Precise Disposable Skin Stapler,MS-35,MEXICO,11,3M Precise Disposable Skin Stapler,DS-5,MEXICO,12,3M Precise Disposable Skin Stapler,DS-15,MEXICO,13,3M Precise Disposable Skin Stapler,DS-25,MEXICO,14,3M Precise Reusable Skin Stapler handle,RSH-100,MEXICO,15,3M Precise Disposable Skin Staple Remover,SR-1,MEXICO,16,3M Precise Disposable Skin Staple Remover,SR-3,MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Filtek™ Supreme Flowable Restorative[3M ESPE Dental],1,Filtek™ Supreme Flowable Restorative - A1 Shade,7032A1,"UNITED STATES, JAPAN",2,Filtek™ Supreme Flowable Restorative - A2 Shade,7032A2,"UNITED STATES, JAPAN",3,Filtek™ Supreme Flowable Restorative - A3 Shade,7032A3,"UNITED STATES, JAPAN",4,Filtek™ Supreme Flowable Restorative - A3.5 Shade,7032A3.5,"UNITED STATES, JAPAN",5,Filtek™ Supreme Flowable Restorative - A4 Shade,7032A4,"UNITED STATES, JAPAN",6,Filtek™ Supreme Flowable Restorative - B1 Shade,7032B1,"UNITED STATES, JAPAN",7,Filtek™ Supreme Flowable Restorative - B2 Shade,7032B2,"UNITED STATES, JAPAN",8,Filtek™ Supreme Flowable Restorative - C2 Shade,7032C2,"UNITED STATES, JAPAN",9,Filtek™ Supreme Flowable Restorative - D2 Shade,7032D2,"UNITED STATES, JAPAN",10,Filtek™ Supreme Flowable Restorative - W Shade,7032W,"UNITED STATES, JAPAN",11,Filtek™ Supreme Flowable Restorative - XW Shade,7032XW,"UNITED STATES, JAPAN",12,Filtek™ Supreme Flowable Restorative - OA3 Shade,7032OA3,"UNITED STATES, JAPAN",13,Filtek™ Supreme Flowable Restorative - A2 Shade - Sample,7032A2-S,"UNITED STATES, JAPAN",14,Filtek™ Supreme Flowable Restorative - A3 Shade - Sample,7032A3-S,"UNITED STATES, JAPAN",15,Filtek™ Supreme Flowable Restorative - A2 & A3 Shade,EXM755LA,"UNITED STATES, JAPAN",16,Filtek Flowable Restorative Dispensing Tips,3700T,"UNITED STATES, JAPAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Lava™ Esthetic Fluorescent Full-Contour Zirconia[3M Deutschland GmbH],1,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM Bleach",69319,GERMANY,2,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM A1",69320,GERMANY,3,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM A2",69321,GERMANY,4,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM A3",69322,GERMANY,5,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM A3.5",69323,GERMANY,6,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM B1",69324,GERMANY,7,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM C1",69325,GERMANY,8,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 14MM D2",69326,GERMANY,9,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM Bleach",69327,GERMANY,10,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM A1",69328,GERMANY,11,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM A2",69329,GERMANY,12,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM A3",69330,GERMANY,13,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM A3.5",69331,GERMANY,14,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM B1",69332,GERMANY,15,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM C1",69333,GERMANY,16,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 18MM D2",69334,GERMANY,17,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM Bleach",69335,GERMANY,18,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM A1",69336,GERMANY,19,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM A2",69337,GERMANY,20,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM A3",69338,GERMANY,21,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM A3.5",69339,GERMANY,22,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM B1",69340,GERMANY,23,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM C1",69341,GERMANY,24,"3M Lava™ Esthetic Fluorescent Full-Contour Zirconia, 98S - 22MM D2",69342,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Ranger™ Irrigation Fluid Warming System[3M Company],1,3M™ Ranger Irrigation Set,24750,"UNITED STATES, MEXICO",2,3M™ Ranger™ Irrigation Bottle Spike Set,24760,"UNITED STATES, MEXICO",3,3M™ Ranger™ Irrigation Patient Line Bottle Spike,24765,"UNITED STATES, MEXICO",4,3M™ Ranger™ Irrigation Standard Spike Set,24770,"UNITED STATES, MEXICO",5,3M™ Ranger™ Irrigation Patient Line Std Spike,24775,"UNITED STATES, MEXICO",6,3M™ Ranger™ Irrigation Easyflow Spike Set,24780,"UNITED STATES, MEXICO",7,3M™ Ranger™ Irrigation Patient Line Spike Set,24785,"UNITED STATES, MEXICO",8,3M™ Ranger™ Irrigation Patient Line Universal,24795,"UNITED STATES, MEXICO",9,"3M ""Ranger"" Irrigation Fluid Warming System",24707,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ PLUS Color Change Adhesive[3M Unitek],1,Transbond PLUS Color Change - Adhesive Syringe Kit (2ea/Kt),712-101,UNITED STATES,2,Transbond PLUS Color Change - Adhesive Capsule Kit (25 ea/Kt),712-102,UNITED STATES,3,Transbond PLUS Color Change - Adhesive Syringe Refill(4ea/Pk),712-103,UNITED STATES,4,Transbond PLUS Color Change - Adhesive Capsule Refill (25ea),712-104,UNITED STATES,5,Transbond PLUS Color Change - Adhesive Syringe Sample (1ea),712-105,UNITED STATES,6,Transbond PLUS Color Change - Adhesive Capsule Sample(2ea/Pk),712-106,UNITED STATES,7,Capsule kit with Transbond Plus Self Etching Primer,712-108,UNITED STATES,8,Syringe kit with Transbond Plus Self Etching Primer,712-107,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ Plus Light Cure Band Adhesive System[3M Unitek],1,Transbond Plus Band Adhesive,712-080,UNITED STATES,2,Transbond Plus 1 Syr Sample Kt,712-081,UNITED STATES,3,Trasnbond Plus Disp Tips,712-082,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ Plus Self Etching Primer[3M Unitek],1,Transbond Plus Self Etching - Self Etching Primer (100/Bx),712-090,-,2,Transbond Plus Self Etching -Self Etching Primer (20/bx),712-091,-,3,Transbond Plus Self Etching - Primer Reorder Brushes (100 Pk),712-092,-,4,Transbond Plus SEP Easy Roller,712-093,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ XT Light Cure Adhesive System[3M Unitek],1,Transbond XT Capsule Kit,712-030,UNITED STATES,2,Transbond XT Capsules 25/box,712-031,UNITED STATES,3,Dispensing Gun,712-032,UNITED STATES,4,Transbond XT Primer,712-034,UNITED STATES,5,Transbond XT Syringe Kit,712-035,UNITED STATES,6,Transbond XT Syringes 4/pk,712-036,UNITED STATES,7,Transbond XT Syringe 2/PK Promo,712-066,UNITED STATES,8,Transbond XT Etching Gel System,712-039,UNITED STATES,9,Transbond XT Etching Gel System,712-044,UNITED STATES,10,Unitek Etching Gel,704-060,UNITED STATES,11,Disposable Plastic Dispensing Tips,712-037,UNITED STATES,12,Disposable Metal Dispensing Tips,712-045,UNITED STATES,13,Brush Holder,704-046,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
